"","studentDist","studentTime","leader","ClustAlg","Catchment"
"5607",938,20.97,FALSE,"Hier",47
"5608",733,16.25,FALSE,"Hier",47
"5609",1573,33.92,TRUE,"Hier",47
"5610",485,10.78,FALSE,"Hier",47
"5611",794,17.2,TRUE,"Fuzzy",47
"5612",712,15.32,FALSE,"Fuzzy",47
"5613",643,13.72,FALSE,"Fuzzy",47
"5614",374,7.62,FALSE,"Fuzzy",47
"5615",374,7.62,FALSE,"Fuzzy",47
"5616",374,7.62,FALSE,"Fuzzy",47
"5617",286,6.15,FALSE,"Fuzzy",47
"5618",810,17.73,TRUE,"Fuzzy",47
"5619",641,13.73,FALSE,"Fuzzy",47
"5620",437,9,FALSE,"Fuzzy",47
"5621",409,8.43,FALSE,"Fuzzy",47
"5622",224,4.65,FALSE,"Fuzzy",47
"5623",1423,31.45,TRUE,"Fuzzy",47
"5624",833,18.58,FALSE,"Fuzzy",47
"5625",768,17,FALSE,"Fuzzy",47
"5626",485,10.78,FALSE,"Fuzzy",47
"5627",574,12.23,TRUE,"Fuzzy",47
"5628",449,9.2,FALSE,"Fuzzy",47
"5629",405,8.28,FALSE,"Fuzzy",47
"5630",333,6.85,FALSE,"Fuzzy",47
"5631",241,4.95,FALSE,"Fuzzy",47
"5632",1365,30.15,TRUE,"Fuzzy",47
"5633",1013,21.92,FALSE,"Fuzzy",47
"5634",733,16.25,FALSE,"Fuzzy",47
"5635",643,13,TRUE,"Fuzzy",47
"5636",637,12.87,FALSE,"Fuzzy",47
"5637",628,12.68,FALSE,"Fuzzy",47
"5638",598,11.95,FALSE,"Fuzzy",47
"5639",596,11.9,FALSE,"Fuzzy",47
"5640",596,11.9,FALSE,"Fuzzy",47
"5641",736,15.17,TRUE,"kNN",48
"5642",914,19.25,TRUE,"kNN",48
"5643",777,15.98,FALSE,"kNN",48
"5644",741,15.25,TRUE,"kNN",48
"5645",741,15.25,FALSE,"kNN",48
"5646",859,18.65,TRUE,"kNN",48
"5647",831,18.07,FALSE,"kNN",48
"5648",799,17.55,FALSE,"kNN",48
"5649",509,11.47,FALSE,"kNN",48
"5650",600,12.58,TRUE,"kNN",48
"5651",588,12.33,FALSE,"kNN",48
